text,polarity,sentiment
fda finally issues eua comes problem transporting pfizerbiontech vaccine needs kept,0,Neutral
ladies gentlemen covidvaccine experts every household pakistan pfizerbiontech oxfordvaccine,0,Neutral
fact sheet healthcare providers administering vaccine pfizerbiontech covidvaccine,0,Neutral
mirekr9 sputnikvaccine astrazeneca check table 23 tables took penny w,0,Neutral
mirekr9 sputnikvaccine astrazeneca one doesnt side effects pfizerbiontech,0,Neutral
fact sheet recipients caregivers pfizerbiontech covidvaccine,0,Neutral
covidvaccine pfizerbiontech covid19 pfizerbiontech covid19 capetown,0,Neutral
fda authorizes pfizerbiontech coronavirus vaccine emergency use,0,Neutral
covidvaccine poisons enough left side effects like bellspalsy flocking,0,Neutral
realdonaldtrump dairy dose dumbsville donthecon grifterinchief trumpforprison trumpcrimefamily covid,0,Neutral
us fda approved two coronavirus vaccines pfizerbiontech amp moderna 200 vaccines develo,0,Neutral
ema_news gets set approve pfizerbiontech vaccine rollout preparations pick pace across eu meanwhile,0,Neutral
covid19 news updates public questioned whether actually received shot video footage appeared show,0,Neutral
tragedy another life taken corporate greed evil pharmaceutical companies vaccination vaccine,-0.5,Negative
ive never excited get vaccine covidvaccine pfizerbiontech vaccinessavelives vaccineswork,-0.1875,Negative
building last weeks trial run extending vaccination programme week much effort going b,0.1,Positive
first covid19 vaccine doses arrived oregon watch morningsonthedove 6am 9am tomorrow det,0.25,Positive
iran told world health organization intend import pfizerbiontech covid19 vaccine bec,0,Neutral
concerned side effects pfizerbiontech covid19 vaccine check recap,0,Neutral
great feeling big thank healthcare professionals scientists nurses doctors caregivers,0.4,Positive
members teamsters delivered first covid19vaccine morning teamsters ups covid19 pfizer,0.25,Positive
getting first dose pfizerbiontech covidvaccine next weekend seeing unboxing made r,0.125,Positive
taking covid19 vaccine available covid19 pfizer biontech vaccine pfizerbiontech,0.4,Positive
farandwide erinotoole michellerempel rempeltrudeau exchange seen believed saw,0,Neutral
pfizerbiontech new york state administered first nontrial vaccine morning health care worker p,0.1931818182,Positive
cpho_canada pfizerbiontech female sterilization pfizer untested liabilities crimesagainsthumanity,0,Neutral
cpho_canada key crushcovid milestone achieved shutting amp coverup pfizerbiontech untested l,0,Neutral
inbox govparsonmo says shipments pfizerbiontech vaccine continue ship missouris 21 vaccinat,0,Neutral
nygovcuomo cmargaronis pfizer ups pfizerbiontech germany based lets hope small numbers,-0.25,Negative
icu nurse sandra lindsay said proud becoming one first americans receive pfizer,0.5,Positive
farandwide erinotoole michellerempel screenshot 2 qp exchange unfortunately hansard c,-0.5,Negative
meghanmccain physician currently covid cried vaccinessavelives pfizerbiontech,0,Neutral
dwain_campbell unfortunately hansard capture aggro fingerpointing deskthumping werea,-0.5,Negative
cdnadvocacy hallo unroll asked cdnadvocacy 1 uk nhs mhra updated covidvaccine clinical guidel,0,Neutral
fordnation odd verb choice doug hand observe welcome anita anand put,0.3166666667,Positive
first ontarian vaccinated minutes later psw anita quidangen toronto pfizerbiontech,0.125,Positive
pattyhajdu would take vaccine listen expert pfizerbiontech untested,0,Neutral
weekend faa issued guidance pilots following use new pfizerbiontech vaccine,0.06818181818,Positive
ugursahin ozlemtureci muslim scientists husbandwife saving world pfizerbiontech,0,Neutral
surprised learn autoimmune conditions otherwise immunosuppressed advised receive,0.1,Positive
farandwide erinotoole erin otooles handpicked health critic michellerempel going even,0,Neutral
warpspeed money go covid pioneers pfizerbiontech moderna asking friend griftertrump klan,0,Neutral
pfizerbiontech vaccine works article made detailed explanation covid19,0.4,Positive
skynews new type vaccine man daft hurts ears listening biggest question,0.1363636364,Positive
thejagmeetsingh actually read global news article jagmeet tweet embedded therein j,0,Neutral
first us covid19 vaccinations today thank everyone stepping getting covidvaccine,0.25,Positive
anitaquidangen personal support worker toronto became one first people canada receive,0.125,Positive
state supposed get 35100 doses total pfizerbiontech vaccine week remained 30225,0,Neutral
orangecounty get 25k doses pfizerbiontech vaccine wednesday dec 15 ochealth confirms,0,Neutral
breaking ohaoregon covid19 vaccine legacy health first registered covid19 vaccine,0.25,Positive
asifintoronto ctvqp ruhroh anita also sawheard michelle rempel suggest qp house,0,Neutral
kfdmsfox 4s thepaigereport1 baptist hospital getting first hand look pfizer covid19 vacci,0.25,Positive
canadian pm justin trudeau announced arrival first vaccine vials country biontech pfizerbiontech,0.25,Positive
privileged offered pfizerbiontech vaccine would encourage everyone take itll help protect peo,0,Neutral
one first vaccines receivers us momentous science hope arrived covid19 covidvaccine,0.25,Positive
half way covid19 covidvaccine vaccination pfizervaccine pfizerbiontech,-0.1666666667,Negative
cant wait take kids towards herd immunity vaccines pfizerbiontech,0,Neutral
toronto receive ontarios 1st doses pfizer covid19 vaccine today ontario,0,Neutral
good news first doses pfizerbiontech vaccine arrived california last night gov gav,0.3166666667,Positive
pandemic pcrgate condemic billgatesisnotadoctor pfizerbiontech moderna astrazeneca,0,Neutral
make vaccine companies liable pfizerbiontech pfizer johnsonandtoxin vaccinesarepoison,-0.1,Negative
fda authorizes emergency use pfizer vaccine pfe pfizer pfizervaccine,0,Neutral
katejulien theresalubowitz supervising im torn politicians going firstish show important,0.4,Positive
pfizerbiontech wondering every pfizer employee way boardroom vaccinated yet,0,Neutral
last night first covid19vaccines arrived canada speak first vaccines admin,0.1666666667,Positive
happy cold chain day way get vaccine distributed across county coldchain pfizerbiontech industrial cre,0.1,Positive
received first dose covidvaccine pfizerbiontech today feel privileged amp lucky p,0.2916666667,Positive
several countries including us uk approving use pfizerbiontechs covid19vaccine,0,Neutral
hospital work received vaccine iv room made first five doses given state,0.25,Positive
last night anitaoakville welcomed first 30k doses pfizerbiontech vaccine although l,0.125,Positive
historical moment firstdose pfizerbiontech covid_19 vaccine administered upmc upmchealthbeat pitt,0,Neutral
breakingnews nurse new york city monday became first person united states receive corona,0.1931818182,Positive
update nurse new york city monday became first person united states receive coronavirus,0.1931818182,Positive
new methodistdallas received first shipment pfizerbiontechs covid19 vaccine front line healthcare,0.1931818182,Positive
kind surreal vaccine dropping today pfizerbiontech,0.425,Positive
coronavirus vaccine ships today expect hospitals overwhelmed nine months baby deliveries,0,Neutral
per cdc persons hiv immunocompromising conditions may still receive covid19 vaccine unless,0,Neutral
realdonaldtrump im graveling feet someone killed 290k usa appreciate scientist,-0.2,Negative
science everywhere results entire world approve vaccine one country,0,Neutral
president trump says first pfizerbiontech covid19 vaccine united states administered,0.25,Positive
1st doses pfizerbiontechs covid19 vaccine arrive canada helloryanjones,0,Neutral
ups fedex transport initial pfizerbiontech covid19vaccine doses ups fdx,0,Neutral
new vaccination campaign begins today quebec residents maimonides among first seniors,0.1931818182,Positive
kudos ups ups announced 13th involvement amp full support distribution efforts pfizerbiontechs,0.175,Positive
tuna fish covid19 vaccine container freezers used ship seafood given new role,0.1363636364,Positive
end sight many coworkers getting first doses pfizerbiontech covidvaccine,0.375,Positive
pfizer received emergency use authorization food drug administration covid19 vaccine develope,0,Neutral
thank thank thank scientists worked development vaccine covid19,0,Neutral
well done usa pfizerbiontech pfizervaccine covid19,0,Neutral
sunday evenings shipment first initial 30000 doses pfizer vaccine spread across 14 dist,0.125,Positive
watch shipments initial doses covid19 vaccines arrived selected ports entry canada sunday,0,Neutral
singapore approves pfizer covid19 vaccine first shipment expected end december says pm lee hsien loong,0.075,Positive
lipids used lipid nanoparticle used mrna biontechpfizer pfizerbiontech covidvaccine,0,Neutral
canada begin pfizerbiontech covid19vaccine rollout,0,Neutral
approvals pfizerbiontech vaccine singapore approves pfizer covidvaccine expects first shots decemb,0.25,Positive
first pfizer coronavirus vaccine doses set arrive hospitals pfizerbiontech,0.25,Positive
vaccinated 11 million new cases confirmed past week death toll 30600,0.09545454545,Positive
us health care workers amp vulnerable receive pfizerbiontech shots trucks sunday began shipping milli,-0.5,Negative
sammwittings oh great thought wouldnt able see xmas btw heard radio shropsh,0.65,Positive
pfizerbiontechs covid19 vaccines making way distributions sites nationwide fedex says,0,Neutral
us set start covid19 vaccination drive doses pfizerbiontech vaccine ready,0.2,Positive
singapore became monday first asian country approve pfizerbiontechs coronavirusvaccine said ex,0.125,Positive
singapore approves pfizer vaccine becomes first south east asian country approve vaccine doses gi,0.125,Positive
pfizerbiontech covid19 vaccine distributed electoralcollege formally casts votes today detroitlions los,0,Neutral
billgates caught video admitting covidvaccine change dna forever via,0,Neutral
singapore approves pfizerbiontech virusvaccine pandemic,0,Neutral
excited tomorrow honoured part exciting team administering primary care covid_19,0.3583333333,Positive
ludovicotodini taxistalobbyst caught video admitting covidvaccine change dna forever,0,Neutral
get vaccine yet via youtube vaccine maskup pfizer pfizervaccine pfizerbiontech,0,Neutral
canada begin pfizerbiontech covid19vaccine rollout pandemic,0,Neutral
singapore approves pfizerbiontech covid19 vaccine first shipment expected enddecember coronavirus,0.075,Positive
gopchairwoman gop realdonaldtrump pfizerbiontech thank drsahin amp team,0,Neutral
us expects immunized 100 million covid19 end march slaoui,0,Neutral
singapores plan tackle covid19 really effective early pandemicmore 1 bn set aside fo,0.35,Positive
singapore approves pfizer biontech_group vaccine local use vaccine safe use people aged 16,0.1333333333,Positive
phase 3 begins dec 28 pfizerbiontech vaccine first arrive singapore end dec shots free,0.325,Positive
realdonaldtrump world thank pfizerbiontech drsahin amp team,0,Neutral
vaccine mean im gon na eventually wear proper bra agreement un,-0.15625,Negative
us began shipments covid19 pfizerbiontech vaccine sunday following final cdc approval pandemic far,0.03333333333,Positive
true question scientists many vaccines pfizerbiontech vaccine needs given 2 shots,0.425,Positive
first million pfizerbiontech vaccines arrived us lastminute emergencyauthorization,0.25,Positive
donaldtrump mikepence offered recently authorized pfizerbiontech vaccine,0,Neutral
pfizervaccine unlikely available india mass distribution read find pfizerbiontech,-0.05,Negative
us set begin coronavirus vaccination drive today doses pfizerbiontechs vaccine set,0,Neutral
politico december 13 2020 fdas hahn covid19 vaccine authorization based science data,0,Neutral
im due get vaccine tuesday super thrilled pfizer pfizerbiontech coronavirusvaccine,0.2694444444,Positive
usa start vaccination today according latest figures maximum coronavirus cases 167 mil,0.5,Positive
covid pfizerbiontech vaccine pennsylvania nursing homes pennsylvania prepare covid19 vaccine distribut,0,Neutral
vaccines save lives hopefully hcw assuage public fear anxiety regarding vaccine finally,0,Neutral
1st doses pfizerbiontechs covid19 vaccine arrive canada,0,Neutral
politicians essentialworkers covid19 pfizerbiontech covidvaccine vaccineswork sciencematters,0,Neutral
first batch doses pfizerbiontechs covid19 vaccine arrived canada pm trudeau said twitter,0.25,Positive
good news pfizerbiontech vaccines arrived vaccines like moderna astrazeneca also coming,0.7,Positive
money mr mark twain getting one first doses pfizerbiontech vaccination united states calnbc,0.25,Positive
apt29 aka cozybear hacker group suspected hacking pfizerbiontech ip federal agencies like us treas,0,Neutral
pfizerbiontechs covid19 vaccine also urgently needed africa ghana nigeria egypt southafrica amp rest,0,Neutral
comes covid_19 pfizerbiontech,0,Neutral
realdonaldtrump might well call 100 years ahead liarinchief nothing pfizercovidvaccine pfizerbiontech,0,Neutral
pash22 cdcgov caseymross interesting approach guidance v clear person history anaph,0.3,Positive
pfizerbiontech covid19 vaccine donald trump mike pence amp top us officials offered early access newly,0.2454545455,Positive
pfizerbiontech vaccine hacked days ago ustreasury hack announced today whol,0,Neutral
safe thank fedex vaccine fedex pfizerbiontech pfizer,0.5,Positive
rainartchik nowhere near 2030 premature innoculation pfizerbiontech cdnpoli,0.1,Positive
harharmahadev first batch doses pfizer biontech vaccines canada yay many congratulations,0.375,Positive
welcoming 1st covid19vaccines tonight 1st 30k doses pfizerbiontech arriving across cou,0,Neutral
information pfizer vaccine severe allergies covidvaccine pfizervaccine pfizerbiontech,0,Neutral
welp thanks already arent going quite planned pfizerbiontech covidvaccine distribution,0.2,Positive
mt murray_nyc five years ahead schedule pandemic predetermined schedule ackno,0,Neutral
excellent news great president trump administration pushed get vaccine ready qui,0.6666666667,Positive
good heavens stupid reason even slow day get dummy pademics slither away alr,-0.1333333333,Negative
say wont take pfizers vaccine covid19 read report,0,Neutral
covid_19 covidvaccine pfizerbiontech,0,Neutral
process definitely thought everything publicity wise pfizervaccine pfizerbiontech,0.35,Positive
turkeys coronavirus death toll reaches 16417 drfahrettinkoca coronaviruspandemic turkey pfizerbiontech,0,Neutral
case anyone interested link pfizerbiontech covid19vaccine patient information,0.25,Positive
tameemmurtuza yes link patient education information pfizerbiontech given,0,Neutral
unitedstatesthe first covid19 vaccines going cdc officially allows pfizerbiontechcoronavirus,0.25,Positive
infections worldwide unitedstates 220575 brazil 43279 turkey 30805 coronavirus corona covid_19,0,Neutral
pfizerbiontech covidvaccine given green light us,0.1,Positive
kind america leave behind trump donaldtrump joebiden newyork washington whitehouse,0.1,Positive
chesleydohl audie_murphy45 cspan trump claiming pfizerbiontech vaccine one administrati,0,Neutral
go grateful among first group vaccinated healthcare workers tampafl covid19,0.25,Positive
cdc acip released interim guidance use pfizerbiontech covid vaccine,0,Neutral
dr kathy lofy says vaccine new tool tool box says shell also get vaccinated soon,0.1363636364,Positive
advisory committee immunization practices interim recommendation use pfizerbiontech covid19 vaccin,0,Neutral
acip recommended use pfizerbiontech covid19 vaccine persons 16 years age older,0.1666666667,Positive
cdcdirector redfield signed recommendation cdc panel recommends pfizers covid19 vaccine,0,Neutral
boxes containing first shipment pfizerbiontech covid19 vaccine prepared sent pfizer,0.25,Positive
great day country amp world realdonaldtrump one day closer leaving hitehouse first,0.525,Positive
answers questions covid vaccination vaccine covid_19 healthcare health,0,Neutral
watched capehartj new thesundayshow maria_hinojosa correctly stated two deaths among,0.1363636364,Positive
pfizerbiontech pfizercovidvaccine vaccinerollout 38 days,0,Neutral
agree uk us vaccinate technology pioneered 2 german one usbiotechs us celebrates distribution,0,Neutral
realdonaldtrump varneyco pfizer funded operation warp speed would never supported mus,0,Neutral
covid19 vaccination bit helping save human race mega sore arm today expected small pr,-0.1166666667,Negative
jeremysale nytimes apparently trucks escorted us marshals stay safe hijacking,0.275,Positive
airborne heading memphis pfizerbiontech covidvaccine fedex a306 n669fe,0,Neutral
newly approved vaccine ccpvirus start distributed us states dec 14 according,0.1363636364,Positive
yvettedoc50 teamgp nhsengland nikkikf pulsetoday think going seeing lot happening l,0,Neutral
tedcruz know trumpkins like informed goes 1 pfizerbiontech vaccine developed,0.1,Positive
canadian firm acuitas heart pfizerbiontech vaccine great story ubcprez ubc helped early wi,0.2333333333,Positive
dday beginning end thats today said cautioning would still take months,0,Neutral
first trucks loaded pfizers coronavirus shot pulled michigan warehouse early sunday starting,0.1166666667,Positive
joebiden kamalaharris thanks bringing fresh air positivity gods hand pushing us forw,0.25,Positive
pfizer pfizercovidvaccine vaccine vaccination biontech pfizerbiontech moderna toxic mrna,0,Neutral
afp update pfizerbiontech covid19 vaccine began leaving companys michigan factory sunday set,0,Neutral
eng nhs workers vaccine game changer hopenews nhsheroes bbcnews vaccine covid19uk covid19,-0.4,Negative
update pfizerbiontech covid19 vaccine began leaving companys michigan factory sunday set inje,0,Neutral
jojofromjerz someone remind tedcruz pfizerbiontech vaccine developed us scienceovermorons,0.1,Positive
rival us companies ups fedex working sidebyside ship pfizerbiontech covid19 vaccine,0,Neutral
pfizerbiontech usa first shipment pfizerbiontech coronavirus vaccine leaves michigan facility,0.25,Positive
kuwait authorizes emergency use pfizerbiontech covid19 vaccine covid news visit,0,Neutral
approval pfizer biontech vaccine fda advisory board last minute news us food drug administra,0,Neutral
happy relieved pfizerbiontech covidvaccine amazing work mhragovuk nhsuk since,0.7,Positive
vaccine pfizerbiontech oxford_astrazeneca bharatbiotech sputnikv companies submitted applicat,0,Neutral
us food drug administration fda issued yesterday first emergency use authorization pfizerbion,0.25,Positive
covid 19 vaccination latest update youtube youtubecreators youtubetrends,0.5,Positive
10 months 3 weeks since first case finally relief uncle sam vaccination starts monday,0.125,Positive
first trucks filled pfizer vaccine hit road pfizerbiontech,0.325,Positive
us says covid19 vaccine start arriving states monday via 10tampabay pfizervaccine,0,Neutral
interesting watch cnns newday live coverage loading pfizerbiontechs vaccine pfizer plant,0.3181818182,Positive
vaccines acomin covid19 coronavirus vaccine pfizerbiontech cnn msnbc,0,Neutral
global coronavirus death toll reaches 1611637 coronaviruspandemic ho orldometers pfizerbiontech,0,Neutral
two people united kingdom experienced allergic reaction pfizerbiontech covid19 vaccine rea,0.8,Positive
petedeveson anna_down rcgp martinrcgp skynews gps struggling provide core services amp many made di,0.5,Positive
first shipments pfizerbiontech covid_19 vaccine begin arriving us states monday offi,0.25,Positive
numbers likely get worse holidays vaccine offering bright spot fight,0.1,Positive
pfizer keep good work pfizerbiontech pfizervaccine pfizerbiontech pfizerbiotech covid19 vaccine coronavirus,0.7,Positive
health canada warned people allergic ingredients pfizerbiontech covid19 vaccine,0,Neutral
pucking intend get vaccinated wht employer force get vaccinated like arogya set,0,Neutral
ok might late discovering pfizerbiontech moderna covid19 vaccines led,0.1,Positive
hours authorized fda doses pfizerbiontech coronavirus vaccine packaged,0,Neutral
fda advisors tapped review coronavirus vaccines received payments vaccine companies pray th,0,Neutral
breaking911 dumass anything pfizerbiontech vaccine bet w,0,Neutral
us states start getting pfizerbiontech covid19 vaccine monday kalingatv pfizervaccine,0,Neutral
corona pfizer vaccine approved use us emergency basis pfizervaccine us fda pfizerbiontech covid19,0,Neutral
ups fedex collaborate ship pfizerbiontech covid19 vaccines us ups fedex,0,Neutral
us president donald trump announced vaccine free americans thanked scienti,0.4,Positive
astrazeneca buy pharmaceutical firm alexion 39 billion covid19vaccine pfizer pfizervaccine,-0.2,Negative
astrazeneca buy pharmaceutical firm alexion 39 billion covid19vaccine pfizer,-0.2,Negative
pmjones14 pfizerbiontech created vaccine trump recommended bleach injections,0,Neutral
us public start receiving pfizerbiontech coronavirus vaccine monday authorised,0,Neutral
pfizerbiontech covid19 vaccine side effects canada warns allergic people pfizerbiontech coronavirus vac,0,Neutral
4evernevertrump tedcruz hatched canada 2 pfizerbiontech vaccine developed germany 3 scie,0.1,Positive
tedcruz hatched canada 2 pfizerbiontech vaccine developed germany 3 scientists behind,-0.15,Negative
tedcruz stoolpresidente hatched canada 2 pfizerbiontech vaccine developed germany 3 scie,0.1,Positive
doses pfizerbiontech vaccine begin leaving companys factory kalamazoo michigan sunday th,0,Neutral
covid19 vaccine update initial doses pfizer coronavirus vaccine us begin tomorrow,0,Neutral
salute healthcareheroes risking life everyday taking care covid patients may god give th,-0.2,Negative
sj proving unproven time constraints always hardest great achievement pfizer pfizer,0.8,Positive
canadian guidance people allergies pfizerbiontech covidvaccine since still evolv,0,Neutral
pfizervaccine pfizerbiontech pfizer 100 transparent coronavirus vaccineswork,0,Neutral
youre wrong malaysia already preordered pfizerbiontech covid19vaccine expected 2021 plus part,-0.3,Negative
love high quality infographics getting across multiple ideas quickly excellent set fact,0.415,Positive
pfizerbiontech covid19vaccines prepped shipment wall street journal,0,Neutral
learn victory polio good refresher polio came end lets forget,0.7,Positive
big pharma best interests hold stock amp patients pfizervaccine pfizerbiontech,0.5,Positive
tv ad 2030 receive cv19 vaccine 2020 2021 entitled financial compensation,0,Neutral
sflecce thank cpho_canada pattyhajdu justintrudeau anitaoakville getting approved prepared,0,Neutral
canada ordered enough pfizerbiontech vaccine people,0,Neutral
pfizervaccine pfizerbiontech whats vaccine pfizer 100 transparent coronavirus,0,Neutral
entire ingredients pfizervaccine see like bigmac splash superpower fi,0,Neutral
stop wearing weeks 2nd pfizerbiontech vaccine curious use test get vac,-0.05,Negative
pash22 caseymross guidance clear person history anaphylaxis vaccine medicine,0.1,Positive
reason dont polio vaccinated virus please lets embrace covid vac,0,Neutral
say covid19 vaccines vaccine vaccination pfizervaccine covid_19 pfizerbiontech covidvaccines,0,Neutral
janey94803852 maureenprsb still seems unclear reconstitute pfizerbiontech vials site nursing home,0,Neutral
fda pfizerbiontech operationwarpspeed coronavaccine grateful covid corona fda approves pfizers cov,0,Neutral
us covid19 vaccine shipments start rolling sunday via medscape operationwarpspeed,0,Neutral
fda gives guidance allergy pregnancy concerns covid vaccine via medscape,0,Neutral
announcement comes federal authorities granted pfizer vaccine emergency use authorization read,0,Neutral
unitedstates federal aviation administration faa said saturday approved use,0,Neutral
us agency authorizes pfizerbiontech covid19 vaccine first vaccine administered,0.25,Positive
new podcast vaccinating way pandemic larrybrilliant peterhotez amp raysuareznews discuss,0.1363636364,Positive
eric shawn vaccine herein record time thanks ericshawntv arthelneville al,0.2,Positive
tedcruz facts senator would nice respect faith tell truth pfizerbiontech vaccine dev,0.6,Positive
vaccine pfizervaccine pfizerbiontech whats vaccine pfizer 100 transparent,0,Neutral
coming vaccine soon excited covidvaccine covid19 pfizervaccine pfizerbiontech maskup,0.375,Positive
beyond relieved share ill among first receive covidvaccine pfizerbiontech thank,-0.125,Negative
twitterpoll dyk uk bahrain canada amp usa among first nations approve pfizerbiontech,0.25,Positive
fascinating see messenger rna vaccine delivery approach helped enable dramatically shorter time,0.7,Positive
realdonaldtrump vaccine discovered developed europe turkishgerman husband wife covid19vaccine,0.1,Positive
tiffany dover alive tiffanydover pfizer pfizerbiontech pfizervaccine vaccinoanticovid chi_memorial,0.1,Positive
black woman giving alright pfizerbiontech,-0.1666666667,Negative
thats indeed sight relief saudi health minister tfrabiah showcased sample pfizerbiontech vacci,0,Neutral
manchesterhcc dr_pwright gmscnews gm_hsc gmec_scn doctormkumar mancitycouncil andyburnhamgm important day f,0.4,Positive
itll interesting see postvaccine birth rates next winter covid19 pfizerbiontech,0.25,Positive
covid vaccinated sccm hmethodistmd covid19docs vaccination pfizerbiontech coronavaccine pfizer,0,Neutral
singapore pfizerbiontech volunteer amp 16 immune suppressant takers amp pregnant portal booklet kn,0.3333333333,Positive
moderna vaccine need extra special handling requirements one pfizer includin,0.1785714286,Positive
mandated anthrax vaccine killed 35k us soldiers maimed many 2 serious adverse reactions,-0.01111111111,Negative
mrna vaccines teach cells make protein trigger immune response without using live vi,0.1363636364,Positive
vaccine special triggers immune response without using actual virus causes covid19,0.1785714286,Positive
healthcare workers receive first dosis pfizerbiontech covid19 vaccine memorial healthcare system mir,0.25,Positive
supplier fosun pharma making initial payment 125 mil yearend 50 million doses fmtnews,0,Neutral
vaccine rolled week several countries bringing hope scepticism vaccine,0,Neutral
excited received first part pfizerbiontech covidvaccine todayimpressive resource mobilization,0.3125,Positive
1000 jackson employees successfully received first dose pfizerbiontech covid19 vacci,0.5,Positive
something interesting learned interview b_kazaz today theres lot chatter,0.5,Positive
usa oklahoma oklahoma historic day govstitt hannah white registered nurse integri,0,Neutral
waiting age group get injected canada expect would happen next year lets patie,0,Neutral
turkeys death toll covid19 rises 16881 drfahrettinkoca coronavirus pfizerbiontech sinovac,0,Neutral
getting vaccinated coronavaccine pfizerbiontech vaccination mrna covid19vaccine pfizer,0,Neutral
pfizerbiontech covidvaccine effect interact persons dna dna located nucleus,0,Neutral
vaccine may come risks thank pfizer pfizer pfizervaccine pfizerbiontech pfizercovidvaccine pfizercongress,0,Neutral
berlin pressuring brussels license pfizerbiontech vaccine christmas,0,Neutral
real cool boston healthcare covid19 vaccine pfizer pfizerbiontech,0.525,Positive
anyone notice vaccinations nhs picture taken video actual vaccination becau,0,Neutral
usa government prepping millions doses pfizerbiontech coronavirus vaccine shipment sites,0,Neutral
moderna covidvaccine differ pfizerbiontech vaccine answer question,0,Neutral
mjmoore77 yvettedoc50 j_bagpuss ellzsummary fentonaw oldburysally docsandip drneenajha drpeterweeks1,0,Neutral
healthcareheroes jackson north medical center getting covid19 pfizerbiontech vaccine today,-0.05,Negative
talking human lives lets repeat mistake past dengvaxia jeopardized many lives,0.08333333333,Positive
thrilled receive first dose covid vaccine today vulnerable people visit support work,0.1166666667,Positive
know wearing mask around others staying least 6 feet away avoiding crowds washing hands pr,-0.3,Negative
pharmacists essential easing patient concerns safety covid19 vaccines pfizerbion,0,Neutral
happened got first dose pfizerbiontech vaccine today best holiday present ever als,0.4166666667,Positive
first give covid19 vaccine liberals politicians bureaucrats scientists bigpharma pfizerbiontech,0.25,Positive
pleased get pfizerbiontech covid_19 vaccine important many people possi,0.4666666667,Positive
first dose covid vaccine today still wear ppe still socially distant least,-0.05,Negative
9 course people want make sure vaccine take safe clinical trial data available f,0.4666666667,Positive
staff applause vaccines rolled towards fridge dhrhealth krgv pfizerbiontech pfizer,0,Neutral
md dr susannah thompson pulling stops leading magnificent team nhs staff amp volunteers tonight,1,Positive
utswnews starting covid vaccination program today socially distanced staff patiently waiting covidvaccine,0.01666666667,Positive
im honored one first getting vaccinated protect protect loved ones gettin,0.475,Positive
proud whole team today bhrut_nhs officially started vaccinating everyone worked extremely,0.2916666667,Positive
first vaccine shots us watch video firstvaccineshots covid covid19,0.25,Positive
hey pfizer respect covidvaccine say someone gets vaccinated builds antibodies donate,0,Neutral
despite lebanons dire shortage foreign exchange government expects sign 18 million deal suppl,-0.125,Negative
pfizerbiontech covidvaccine contain live virus vaccine cause covid19 disease even possible,0.06818181818,Positive
